[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
[38736] [DLL] ret: 60, caller: 00007FF6960FEB09, UnityPlayer+offset: 0x0619EB09
